name,artist,track_popularity,artist_popularity,artist_total_followers,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit,recent,days_since_release
MPFree Now,Session Victim,42,0.7771885021177243,-0.08684222682782068,2022-07-15,1.4875838897130007,-0.34700256616005726,B,-1.9240307274102928,minor,-0.20842193259977027,0.11721532148908943,2.584641989585443,-0.6065069840108832,1.6087930894009876,-0.2660507498009623,0.4424117292101603,4/4,False,False,46
It's All Good,Jeremy Loops,46,1.2830894879280257,0.09359226565677663,2022-07-08,1.3639699260609337,-0.1461051050701236,C,0.06587473585973244,major,1.3542882750379417,-0.04465032403939069,-0.5356259221240288,0.0240797260847495,1.1696289866142808,-1.163977511287747,-0.5624311786383258,4/4,False,False,53
War Dance,Kokoroko,40,1.1706670466368476,0.12920265745397613,2022-08-05,0.8760200695396172,1.0012426171546074,D,-0.10136491174109105,major,-0.2801058870785645,-0.9371837190851813,2.225081271481102,-0.6108860583865473,0.6110804675360418,-0.33480919946764715,1.5162701619864516,4/4,True,True,25
Lucky,Two Door Cinema Club,50,2.070046576966272,2.9196261714770366,2022-07-28,-0.11939763776386919,1.2824990626805146,C,1.3446695535210198,major,-0.1625442017333421,-0.9379619193040682,-0.38259003172323836,0.27431254755127027,2.0095836298082737,1.317771704325768,0.02037217560718873,4/4,True,False,33
Warriors of Peace,Yael Deckelbaum,42,-0.06597980756611138,-0.15088035204680597,2022-07-31,0.4206002034530545,-0.12824755297324109,A_sharp,0.2659601407634997,minor,-0.1252685454043691,0.7304370939719855,-0.5486728396095292,0.04910300823140161,0.947915070644293,-1.091703592014044,0.3930358927387646,4/4,True,False,30
Palaces (feat. Damon Albarn & Zelooperz) [Mount Kimbie Die Cuts Remix],Flume,42,2.2948914595486283,3.074883497137702,2022-07-08,0.9540920465830273,-0.614865847613302,B,0.29223674660585497,major,-0.04068147911939208,0.10787691886244634,-0.5486728396095292,-0.22615309538177145,-0.49748911231389775,0.18292986363658217,-0.1736231849523134,4/4,True,False,53
MESS,Justin Stone,49,1.2830894879280257,-0.021387763272410567,2022-06-03,1.40951191266959,-0.8871935170907673,A,-0.4881237039832565,major,0.5227544030839298,0.6837450808387701,-0.5482619130745529,-0.0635017614285329,-0.19902807158506777,1.1481675284812793,-1.2992464047804857,4/4,True,False,88
Make It Out (feat. Maisie Peters),Henry Jamison,42,1.1144558259912585,-0.056754152227493325,2022-01-14,-0.09337364541606562,-1.632746317135632,D,-1.1874646198917733,major,-0.21845768622680153,1.4743965032278847,-0.5478612597029509,-0.4888975579216183,-1.5941202505346845,0.5758697556916561,-0.43445886806896855,4/4,True,False,228
Tirando Flow Sesh #5,Dan García,59,0.8896109434089023,-0.14741663354089582,2022-08-05,2.099147709886384,1.1753537500992166,C,1.1046218105653371,major,2.2861796832622656,-0.7304003569225479,-0.5486728396095292,-0.5889906865082267,1.2463761113731229,0.21505160553600586,-0.7831827856992616,4/4,False,True,25
Strip 'em Down,tlinh,45,1.3955119292192038,0.12679628459723855,2022-08-17,1.090718006408996,-0.6550453398312887,F_sharp,0.43922151053652947,minor,-0.2270597607642568,1.4899605076056233,-0.547498274597055,-0.6559279662505211,-0.7021481116708098,0.6259479648975164,-0.27553078734616687,4/4,True,True,13
Hideout,Arin Ray,39,1.5079343705103818,0.1578589682508483,2022-06-03,0.46614219006171076,-0.09699683680369585,A_sharp,0.6368434836425761,major,0.7234694756245534,-0.8860404006999326,-0.5476797671500029,-0.27619965967507565,0.19323501051568,1.9391826554487377,-0.23276857195548264,4/4,True,False,88
Anyway,VHS Collection,44,0.7771885021177243,-0.07149528944778794,2022-02-25,0.8369840810179119,0.6262340231200649,F_sharp,0.9127478449873059,major,-0.49085671324621916,-0.776158529793099,-0.5477859231715385,-0.8329676874380846,0.7901570919733399,0.07581143678743117,-0.30888808150420427,4/4,True,False,186
Harder (with Busta Rhymes) - Nick Bike x Ian Wallace Remix,LION BABE,45,1.0582446053456696,0.12405616072657115,2022-08-05,1.0061400312786344,1.1798181381234374,B,0.5175038987752129,minor,2.888324900884136,-0.6556931359094031,-0.5413446497357836,0.7184758056543449,-0.20329180073833678,-0.23199894615650896,0.4613850261888556,4/4,True,True,25
Tell Me The Truth,Two Feet,59,2.2386802389030396,2.177250328967198,2022-04-08,0.4140942053661036,0.03247041589870586,A_sharp,1.0758817729252612,major,-0.5396018022917992,-0.5956160790113327,-0.544495086503936,-0.4638742757749663,-1.4866742758723057,-1.4379428829170584,0.307247420051132,4/4,False,False,144
dirty dancer - A COLORS SHOW,Orion Sun,45,1.3955119292192038,0.03789230652529814,2022-04-04,1.1037300025828978,-0.44521910269291376,G,0.48411071218388646,minor,-0.3603919160948139,0.9919123675179918,-0.40998513405499765,-0.5201766606049335,-0.3567860502560209,-0.267601692274647,-0.606425589591576,4/4,False,False,148
Bang My Line (feat. Tkay Maidza),Cosmo's Midnight,52,1.3393007085736148,0.005125809922424874,2022-05-04,0.7263821135397466,0.6128408590474027,A,0.6579195112452985,minor,1.0532156662270065,-0.11313194330143987,-0.5486728396095292,0.3118474707712484,1.1611015283077428,1.6628047066381388,-0.8099013119283719,4/4,True,False,118
6 AM,Son Little,46,1.2830894879280257,0.025090571205276312,2022-08-01,-0.8220454311545656,-0.5434356392257702,B,0.12116509398635486,major,1.2969411114549063,0.21682494950661577,-0.5486728396095292,0.45573134311449803,-0.9323894859473356,0.526032804203923,0.16236385405676146,4/4,True,True,29
Suppress,Dylan Sinclair,38,1.0020333847000804,-0.07407975633296705,2022-05-11,1.585173861017264,-0.33807379011161576,G_sharp,-0.5404032010237759,minor,2.128474983408918,0.7740163062296533,-0.546594236220107,-0.5577115838249116,0.858376758425644,-0.4046016107834546,-0.3258244837774332,4/4,True,False,111
Silly Silly Love,Kwon Jin Ah,40,1.0582446053456696,-0.03637991491074482,2022-03-31,-0.8805994139371237,-0.02556662841616387,C,0.6768058216944913,minor,0.9958685026439712,0.929656350007038,-0.5486728396095292,-0.3450136855783688,0.5172784261641238,1.7176391394299664,-0.04015628804784033,4/4,True,False,152
think of drugs,BAYLI,40,0.8333997227633133,-0.12705081011525476,2022-06-01,1.7152938227562822,-0.6371877877344057,F_sharp,-0.2910491601655927,major,-0.06648770273175791,1.072845190282232,-0.5479365962343632,-0.1510832489418151,0.6579814882220009,0.008845187312559918,-0.4092491527327963,4/4,False,False,90
SKATE,Bawo,41,0.8333997227633133,-0.14106695038512204,2022-06-06,2.3138456467557638,-0.18628459728811034,C_sharp,0.00839466057958065,minor,3.390112582235695,0.44405941342159755,-0.5251130516042162,-0.5264324811415965,0.4575862180183582,-0.9208241968023034,-1.4815987746161496,4/4,True,False,85
Stay A Child,FKJ,40,2.070046576966272,1.5079196821068956,2022-06-10,-0.5748175038504316,-1.4988146764090096,A_sharp,-1.022140974800288,major,-0.4191727587674251,1.3249820612015952,2.2798714761446206,-0.6315302661575353,-1.642300389966624,0.03390152460964264,0.48138934394439176,3/4,True,False,81
BREAKDOWN,Tessa Violet,47,1.451723149864793,0.7654036080785991,2022-05-25,1.6437278437998222,-0.46307665478979676,G_sharp,0.9064524081709083,minor,1.1392364116015592,-0.9149894488425261,-0.4877187369213647,-0.3325020445050429,-0.2331379048112198,-0.0589826968699141,0.00396385714648808,4/4,True,False,97
Berlin ist keine Stadt,Betterov,44,0.6647660608265462,-0.13696097152467468,2022-08-11,0.1928902704097731,0.9699919009850626,C_sharp,0.8552677697071539,minor,-0.5711427422624686,-0.9475493460007551,-0.5010738493080974,0.9374295244375505,1.7239137765392507,-0.57896201021391,-0.405565139469206,4/4,False,True,19
Kadang Jakarta Jadi Ungu,Jason Ranti,43,0.8333997227633133,-0.12936603248499473,2022-03-20,1.5136078820608043,0.429800950054352,G,-0.0217139502814517,major,-0.4435453032902151,0.8175955184873208,-0.5159699362009915,-0.06975758196519592,1.7537598806121337,0.010913110610806152,0.2161278155417852,4/4,False,False,163
NOTHING TO ME,Darius,38,1.451723149864793,0.04240074984371968,2022-04-22,0.3490342244965946,-0.6371877877344057,G,0.20902749477173005,minor,0.276161599676878,-0.8381032672164982,0.9032675839737145,2.288686760356764,-1.1924769642967445,0.8378756375794432,0.5943867064013394,4/4,True,False,130
Hamilton,Hazel English,47,0.8896109434089023,-0.05324696195086121,2022-08-03,0.5181901747573179,-0.1818202092638896,D,-0.09589061885726669,major,-0.3130805061388097,-0.8421499083547102,-0.3819051541649444,1.4629184495172445,-1.1157298395379027,0.49232565444251125,-0.1258567467667182,4/4,True,True,27
Sommervögel,Hecht,49,0.9458221640544914,-0.060076236899761014,2022-04-08,0.9605980446699781,1.023564557275711,B,1.003073677570402,major,0.20734500337723563,-0.7739795691802156,-0.5486728396095292,-0.38254860879834696,1.0587720286292868,-1.0945986846315887,-0.7717158229129328,4/4,False,False,144
"Um, it's Kind of a Lot",Will Wood,48,1.676568032447149,0.07203307200905884,2022-07-29,0.7068641192788939,-0.547900027249991,G,-0.1624032773957284,major,-0.32454993885541683,1.471283702352337,-0.5486728396095292,-0.5764790454349007,0.2699821352745221,0.11127632135235262,1.3046720076760063,4/4,False,False,32
Forget About You,Devin Kennedy,54,1.1144558259912585,-0.1483547823993792,2022-06-03,0.5181901747573179,-0.29789429789362903,B,0.22900866379768778,minor,-0.014875255507026154,1.8105789977870355,-0.5478749572541167,-0.5389441222149226,-1.0347189856257917,-0.815877089416311,-0.832382594233148,4/4,False,False,88
Fear Of Dying,Alison Wonderland,46,1.5079343705103818,0.4724515521289354,2022-01-02,-0.2885535880245925,-0.43629032664447226,A,0.35409625619306623,major,-0.33458569248244796,0.048733702227040245,-0.5470257090818321,-0.6240232815135397,-1.4355095260330777,-1.7824589044048682,-0.3786328650302629,4/4,True,False,240
Minnesota (hinoon & LVAN Remix),Damien Jurado,45,1.1706670466368476,0.07301329032307957,2022-02-17,1.1818019796263086,0.6306984111442857,C,0.4967015858166815,minor,-0.2528659843766227,0.8954155403760132,2.3175397418507897,-0.624648863567206,-0.6211372577586988,-0.2666021960138281,-0.5993593252429831,4/4,False,False,194
Jewels in the Night,GINGE,49,0.7771885021177243,-0.1567125808994701,2022-07-01,0.3620462206704964,-0.3291450140631743,E,0.19287833076444943,minor,2.142811774304677,0.40981860379057283,-0.5441184038468743,0.9937319092675178,0.04400449015126516,-1.070541843595325,0.10028885923647096,4/4,True,False,60
Designer Sadness,Zheani,41,0.9458221640544914,-0.003474589104598226,2022-03-22,1.0842120083220452,1.4923252998188896,G_sharp,0.41431347791513046,major,0.7521430574160711,-0.9240165713816145,-0.5226474923943579,-0.6565535483041873,0.154861448136259,-0.05912055842313019,-0.7213844062093431,4/4,False,False,161
Pallet On The Floor,The Dead South,38,1.6203568118015599,0.6644214893218797,2022-03-04,0.6808401269310903,-0.1461051050701236,D,0.39597459675431995,major,-0.5066271832315539,1.1164244025398997,-0.4884036144796587,0.23052180379462925,1.8006609012980928,0.07825847935702239,-0.7398044725272944,4/4,True,False,179
Lover,The Walters,41,2.2386802389030396,0.39593001713682774,2022-05-06,0.8174660867570591,0.7512368877982459,B,0.8235168709809745,major,-0.5482038768292544,-0.28122319058101547,-0.5357286537577729,-0.36378114718835786,1.502199860569263,-0.2658439574711377,-0.38315929770907686,4/4,False,False,116
Big Shot,Fontaines D.C.,38,1.564145591155971,0.24196282144597475,2022-04-22,-0.6268654885460387,0.8851685285248684,E,0.8054517044643553,major,-0.5654080259041651,-0.9606231096780553,-0.5454265199832158,-0.6734442637531776,-0.7916864238894586,-1.1297878460900777,0.45020725215700663,4/4,False,False,130
