name,artist,track_popularity,artist_popularity,artist_total_followers,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
My Home Is My Heart,Get Well Soon,36,0.6734194284103407,1.0948577223660363,2022-03-25,0.3437994873386557,1.3798757366777425,B,0.9269434716537273,minor,-0.4285283517914122,-0.9411614495761024,-0.5024937089611742,-0.5567851266581954,1.4779105356505071,-0.1709763485606282,1.1727990479189674,4/4,TRUE
"終究還是因為愛 (REMIX) [feat. 李浩瑋, PIZZALI, 陳忻玥, G5SH]",TRASH,52,1.6976506481263356,1.7453120592851536,2022-04-29,0.07779297681332722,1.2769616443914007,A_sharp,1.2952690365220407,major,0.42844051961740787,-0.8672094922009064,-0.5539198998946047,1.2516065211702796,-1.1262268007901903,0.13866226566228648,1.3158313297727922,4/4,TRUE
Escondidos,Adrian Bello,47,1.219676078925538,-0.05136583622200798,2022-06-23,1.4921690571675148,-1.184027518977643,E,-0.15112992491489827,major,-0.4443448913643937,1.3264075908171375,-0.5539129181931866,-0.5246073393302865,0.8471211317336115,-0.3442130140988731,0.17611896484834724,4/4,TRUE
LOVER,OuiOui,37,1.219676078925538,2.0171191687410275,2022-04-20,0.7395652712909746,-0.17725922487212506,D_sharp,1.1979179271329006,major,3.0180394078846646,1.1954639900684765,-0.5539198998946047,-0.7807425264604406,0.1140415542085705,-1.4330898913950498,-0.2808434323754305,4/4,TRUE
Over the Weather,Kiol,7,-1.3750430110216492,-0.5837842343844807,2022-02-25,0.18160039555491836,-0.5754920167627522,G,-0.1891273664713434,major,-0.524865456463209,-0.4413310192897852,-0.5539198998946047,-0.44094509227772366,-1.0281987177490512,-0.5495381864759474,-0.2719651335808165,4/4,FALSE
Revolusi,Modread,9,-0.6922221978776526,-0.6382553296217708,2022-05-27,-0.2011894610547009,0.41337817433644547,D,-1.2888343429042224,major,0.11498546262559114,-0.9442791543558324,-0.5539198998946047,-0.4473806497433054,0.7149963241564238,1.4794322020019628,0.46056358436292005,4/4,FALSE
Wait For Me,Hablot Brown,33,1.424522322868737,0.8235532824131909,2022-08-05,1.0444995638444,-0.6023391712722327,C,0.16422110464479453,minor,-0.37532726413683776,-0.7381365143200833,-0.5453034586322485,-0.6610411576006199,-0.8321425516667728,-1.5456920043535995,0.3616088538090887,4/4,TRUE
Part Time Lover - Stripped,Stu Larsen,18,1.3562402415543373,2.9737449302321615,2022-05-20,0.33731152366730616,-1.9267987937399362,G_sharp,-0.959615633944367,major,-0.2689250888276889,2.102716080969913,-0.5537254339673001,-0.5439140117270318,-1.424573140480614,-0.8607932635299714,-0.15121022380852686,4/4,FALSE
Ne kaikki palaavat lauluina,Scandinavian Music Group,32,0.9465477536679393,0.9262349527136867,2022-08-19,-1.3884868129116568,-1.6493781971419716,B,-0.4384682420862638,minor,-0.40552247604889347,2.0060672327982823,-0.4282492743685394,-0.6018340289172677,-0.7298523780586275,-1.4915576959245351,0.5350935749513704,4/4,TRUE
Jangan Pernah Kembali,Rfrnds,10,-1.443325092336049,-0.6787430732293539,2022-03-06,0.03237723111388079,-1.0408426949270806,D,-1.5817197318356528,major,-0.4961081117850607,0.7153374539900532,-0.5519445892494795,-0.6848527202232724,-0.5380583025433552,0.27637114174232114,0.09510919748759013,4/4,FALSE
I Try,courtship.,33,1.2879581602399377,1.9451460353528296,2022-08-11,0.5449263611504899,0.2164990412669218,A,0.046623183331417455,major,0.9187532463798369,0.4316263190346211,-0.5133919745894509,0.7625041537860657,0.813024407197563,-1.2778406739561698,-0.8747727390091878,4/4,TRUE
Prozac,Ditonellapiaga,33,1.2879581602399377,0.059815518402427346,2022-02-03,1.3818736747545735,0.1091104232289998,E,-0.32031561359688,minor,1.2638413825176167,-0.7658840868596806,-0.49159544333289745,1.1872509465144618,1.4779105356505071,0.14351165415561457,-0.8035705407553523,4/4,TRUE
Taurus - Acoustic,Eddie Berman,8,1.424522322868737,0.309322380814847,2022-08-26,0.5968300705212858,-0.8618616648638774,A_sharp,-0.42432320909809806,minor,-0.4414691568965789,0.7901623687035738,-0.4531109428330454,-0.5181717818647047,0.1140415542085705,0.6393530293918427,-0.5400345032676994,4/4,FALSE
Vendredi soir,Irène Drésel,10,0.33200902183834236,-0.08399365669132439,2022-03-16,-1.3300951398695113,-1.2108746734871236,F_sharp,-2.667281675280366,major,-0.14239277224383634,1.7005321643847402,2.6780970004911957,0.19617509681487075,-1.7655403858410978,0.870679178371441,-0.7603720289399741,3/4,FALSE
Shapeshifter,Brye,29,1.5610864854975364,1.859372339245117,2022-06-17,1.3105060743697292,-0.27122426565530683,F,-0.12672280917061265,minor,-0.431404086259227,0.13544436496026888,-0.5536532329575128,-0.7080207270993667,-0.44003021950221616,-0.4799614990858603,-0.5104485457569347,4/4,FALSE
Sans Toi,K.ZIA,15,0.6734194284103407,-0.44111748997943045,2022-02-11,0.849860653703916,0.44469985459750555,D,0.9890706753664547,major,1.2638413825176167,-0.5753923248181761,-0.5539198998946047,-0.8553949930611892,0.9707217581767871,1.996975450566488,-0.5274893540515475,4/4,FALSE
Dark Paradise,Maud Geffray,10,0.2637269405239427,-0.34711829291306656,2022-05-20,-1.1614080844144248,-0.6426099030364535,F,-0.2526413381240875,major,-0.5032974479545977,-0.9280982665490337,0.14765594992570602,-0.24787836831027082,-1.750196859799876,-1.511677499247917,-0.2530406692477424,4/4,FALSE
Amore - Slower,Isaac Zale,4,0.6734194284103407,-0.18205990700946587,2022-05-27,-0.08440611497041005,-0.4367817184637699,C_sharp,0.4978774710127022,minor,-0.2502328147868925,0.8026331878224936,-0.5539198998946047,-0.6726251610386671,-0.8278804610997667,-0.6863872419011365,0.07337180680374722,4/4,FALSE
You Lose,Shaé Universe,41,1.1513939976111383,-0.18018632067999532,2022-04-01,-0.28553298878224426,-0.8081673558449166,F_sharp,-0.8594909886751942,major,4.082061160976152,-0.3072697137613943,-0.5509637453429347,-0.5053006669335413,0.1779729127136613,1.7754856498783207,-0.45474255784617373,5/4,TRUE
Just Like Magic,Hendersin,16,0.605137347095941,1.834467350231423,2022-06-28,1.2845542196843311,-1.3182632915250456,C,-3.405874280133016,major,2.2272124292355855,1.0676380940995458,-0.5539198998946047,-0.8199994270004894,0.3399323542598914,-0.7567549642936819,-0.8796828024161102,4/4,FALSE
Grįšiu,jautì,38,0.7417015097247404,-0.2129512328319559,2022-04-25,0.2335041049257143,1.0979806143281972,F_sharp,0.43658232806398434,minor,0.16243508134453585,-0.9471162657053868,-0.5539198998946047,-0.6597540461075035,1.5290556224545797,1.8234636424186927,-0.7934364712684308,4/4,TRUE
Hell Car,The Zells,4,-1.3067609297072496,-0.6672730691147903,2022-06-03,-1.6609812871083354,1.460417200206184,C,0.1339895635524405,major,0.17968948815142494,-0.958003290796204,0.16468448996988833,-0.41520286241539656,-0.8960739101718636,0.692765088470837,-1.2470836338645168,4/4,FALSE
Going Back to Kyiv,Rome,32,1.0831119162967386,1.2807997412591012,2022-07-08,0.2335041049257143,-0.2578006884005666,G_sharp,-0.3649695412654028,minor,-0.5636878717787093,-0.7010358274412961,0.658512151251175,-0.5310428967958682,-0.9088601818728818,-0.3413928023509805,0.016862125649909528,4/4,TRUE
Me Malviaje con las Ganlletas - Remastered,Los Cotopla Boyz,7,-1.23847884839285,-0.6510048561076801,2022-08-26,-1.0121849199733866,1.138251346092418,C,0.10042977940404783,major,0.8612385570235401,-0.8628447055092843,-0.5127108329876835,-0.7743069689948588,1.392668724310386,0.6042379538479572,1.8317019301727149,4/4,FALSE
Can You Discover?,Discovery,33,0.5368552657815414,2.401798430240615,2022-04-22,-0.03899036927096362,1.0263882023029158,A,0.6434881047144075,major,2.9605247185283683,-0.6654939929523738,-0.5539198998946047,-0.9319781269016121,0.41238789389899433,0.7960811383570563,-0.9442168582937928,4/4,TRUE
Sometimes,The Valery Trails,1,-1.443325092336049,-0.6752700839357012,2022-08-12,-0.4866598625940785,1.5051624577219849,B,0.45211412899216624,minor,-0.2718008232955038,-0.9588514623815296,1.0637914043027137,0.756068596320484,0.9238387619397205,0.96677273475696,-0.7980451497091993,4/4,FALSE
Scale These Walls,Caroline Spence,34,1.3562402415543373,0.08604572701501505,2022-04-29,-0.24660520675414732,-1.0184700661691803,F_sharp,-0.3807786957815881,major,-0.5363683943344683,0.970989245927915,-0.5530344158123072,-0.4924295520023777,0.3143598108578551,0.2752705713041187,0.47999035697291714,4/4,TRUE
El Gran Bailarín,Los Rivera Destino,32,1.2879581602399377,1.0626411769446524,2022-04-18,0.836884726361217,0.09568684597425954,A,0.48317773084853005,major,0.5017717485466862,1.0426964558617056,-0.5539198998946047,-0.4087673049498148,1.7592085130729063,-1.010849164213586,0.3743423686290868,4/4,TRUE
Miracle Maker,Erik Nieder,35,1.1513939976111383,-0.3211622676657672,2022-02-11,-0.24660520675414732,0.24782072152798237,C,0.1514628395966453,major,-0.31781257478054104,-0.9513563442058195,-0.5538961621097831,-0.7144562845649485,-0.6531347478525187,-1.6146152280460044,1.1058664700189773,4/4,TRUE
Chaand Baaliyan Duet,Aditya A,54,2.517035623899132,0.6588604743299747,2022-06-01,0.823908799018518,-0.9468776541438989,E,0.13925928172450225,major,-0.4098360777506157,1.7691216695388008,-0.5539198998946047,-0.5310428967958682,1.5631523469906277,-0.8604837280942276,-1.408299475342954,4/4,TRUE
(tutto qua),svegliaginevra,33,0.7417015097247404,-0.34094916719407814,2022-04-22,0.47355876076564546,-0.1414630188594844,D,0.26101750685792824,minor,-0.43284195349313437,-0.22932709426814366,-0.5539198998946047,-0.5567851266581954,0.8343348600325933,-0.928478345479399,-0.924840316511488,4/4,TRUE
Có Lúc (Quốc Bảo),Phạm Hoài Nam,2,-0.21424762867685496,-0.5216360049191161,2022-01-21,-0.9473052832598917,-1.4346009610661274,G,-0.3275268068849644,minor,-0.4500963603000233,1.909418384626652,-0.5538933694292159,-0.6565362673747126,-0.9173843630068937,0.11417457341229072,0.20080741665911278,4/4,FALSE
House with No Socks,Moses Rockwell,5,-1.5116071736504486,-0.6609668517131577,2022-02-23,-0.8434978645183002,-0.566542965259592,A,-0.6234630852844303,minor,2.9749033908674423,0.19156305099540935,-0.5538965707947442,0.02885060270974498,-0.12463551754376834,-1.3548462118041213,-0.16047781151775625,4/4,FALSE
Il brutto del mondo (feat. Memento),Giuse The Lizia,28,0.7417015097247404,-0.46204682019644294,2022-04-20,0.6357578525493828,-0.5710174910111722,A,-0.2354454156678858,minor,-0.20997253223748483,0.5064512337481416,-0.5538419091812024,-0.1320383339297992,-0.9259085441409058,-0.13424481018563358,0.13623568766066088,3/4,FALSE
Car Keys,Jaguar Sun,38,1.219676078925538,0.24813379312799166,2022-06-24,-0.31797280713899173,-0.1369884931079043,C_sharp,-0.4079593474059061,major,-0.5507470666735425,1.513469877600939,2.708748372570724,-0.3508472877595789,-1.275399970635402,-1.4432013822960317,0.6196320579575116,4/4,TRUE
