id,popularity,artist_total_followers
50Lr1puweM1hFsF1LpIZLM,54,172386
1fHiTME799pW2QlBG6yNjV,40,16333
4rjlerN21ygkIhmUv55irs,52,394819
2oKqZCLOi18wxFFnDS6e25,27,26026
32LfBpNksY6Hegjif5kyVN,26,4642
2Dsv89oyAH1efJDlgDcXlm,26,3117
6CMeouhVoHSVr1tr90P33c,18,812
1AMLMcq6UxnbQAZVOAUFZ5,6,843
1UU5UvRU1foN2pnMqY2pIP,1,171
37AEp9hH1osKqS5Jo6xkW9,3,579
0PvLVhR6DzLy8CDjdxWLmx,5,139
7xYldHloSckuP93hORkq8v,21,4695
3wpNKcE7grYUIRKCMpmBOb,48,83415
0SrIPejckovMwhrN3MZFPB,54,52638
19XkfzkDFF6Atq98pM6yCN,28,206
4OqbMdJwZnREH8Kc3pi0De,45,14216
4ejp2yEDQIIJIy0iFpoI5B,45,289204
6LVyv611DkaM3x3ll8O5N4,18,2868
0hwP1zFS6XO7kSohkYwUjT,5,772
4uFp5w0ldKB8bJg9FtMCFh,1,356
5Pb27ujIyYb33zBqVysBkj,70,1078543
2cAvReLDmjFQtCJFDJbHBU,58,274446
2Q1d40J0u4IWGg4oZNPBZ7,50,97237
7MDxTPkqAJ1kYLeYS2EmZS,4,454
5NkwN3sVPbeE8xnCCyVr9p,19,3006
18r8dGxeFSojt06XfRIzsV,2,195
0jCwWkjDrfWpBLDmpS5nrJ,3,246
4fmuGt0tDTYidRHAS2aO5V,2,504
2pjjwXnOGzhlwRe7hI5WE1,25,2599
4UpP7oyQYr9CWocc2Gz82l,3,289
29lz7gs8edwnnfuXW4FhMl,52,260023
3RTAXX6KGdljBsOIupyZgT,62,863618
1crc73UkeH80e1KsAnZEja,7,210
1crc73UkeH80e1KsAnZEja,7,210
7MDxTPkqAJ1kYLeYS2EmZS,4,454
28anP55ld80zmZjMVOnWZ6,38,3365
0gvCZyrsq2alerfXBXodwp,1,172
0FLmdg8E3JrTe7QJghioyb,1,184
2A2x3ZwZEOgWdSmSHZRIok,43,154686
1zt9ZJuqzaBkpTfGP7RzVV,3,203
17WostYl0Ep0nyJmA0m2ds,28,20822
3rqpBcetrJVphNTRHDv9ht,50,246588
1OiHUmx2ejQcI887OVP4G7,4,674
2m3AQebiU86qWsrwG9Y6gN,25,579
5Rj6VDIagmf2GV76KfRCcB,25,1788
29z5chNteRELh8vVAnKind,33,46903
3XTyIx2dpw9ulI4ALrny1Z,7,143
2TyxurDE5DjnzVrsKZkRtT,31,496
46rTlVEDFs6bC3oclXb5bB,9,521
39a4hGdTS669oJBra6j9Ru,27,7042
504cl42JQLRqlZddfZ3S4z,48,47815
2Dsv89oyAH1efJDlgDcXlm,26,3117
4aT85lix0NSNB6w9Ozzksq,44,13571
3hVxqR4x3D6PaJWHICzhpt,34,61985
05kWC05qQmocVoC5Udgl6D,37,31523
5nKGeITSNCVP76muyOlszy,62,150940
5j1AZkYzQt0e8cwA2Q1UgQ,28,1087
5Ofqrhibux9l9dNgt6qZP6,22,1307
4YsjYDobnm0mf2tB4I9Zya,40,42852
5zInXkhCwoT9HGWgeKjKS6,32,4522
3BuxRmHMbdWFDtwTQ2lwe5,14,1159
3vuFwREQhiuM37djfwviD7,13,1339
6Ydc7A5Y0e2hWwGo14HSIF,15,384
14CMndDKSsMSvZYXFLZRfn,46,92988
0zipD52jhXFlSyN84URtCm,35,28434
4XbPmAuePPr3JhIoN6WNGP,35,30891
3bnpcWBcvlfq4hPFJjNPbz,50,142412
3bnpcWBcvlfq4hPFJjNPbz,50,142412
2XVoz4hoXgQ3C2BTGxl9V2,52,62693
3bnpcWBcvlfq4hPFJjNPbz,50,142412
0uEzV9cPETWQWsY4fABXJe,10,1445
3bnpcWBcvlfq4hPFJjNPbz,50,142412
77Dl9332vjr060pj5LbWuN,18,4702
5O62HiDhcMu7CfOJiVJcYh,11,1554
6rUsAEYBTCzHDa98JsBwtW,44,77211
1g58rJkJZVaUGMUTHTZmYi,23,9841
4LADVWbGgajvchOHelqZv2,46,102498
1W4itxt3vwhmrgLEBuVHJ6,65,224907
4IlxI05VmVDx8ShdgKEnLK,44,48832
6g8Jqb5JMfv92eB2r0awTN,38,60050
0Xme4edmuvgPg2fJJVRtkR,27,2002
73BDzWqbf1grbgQ8xYn2ou,56,164397
56O3B1IrgB915eA8qYaxan,4,229
1QBzzMyJtrjIGr3NSKp1A3,7,2702
